#SRC:SGRA,DATE(MJD):57849,FREQ:226.1918GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
08.40138888,AA,SP,-1034102272.0000,4650054656.0000,0.30104650,1.2412,0.00499826
08.40138888,AP,SP,-1034613504.0000,4651956224.0000,0.30550571,3.8160,0.03485713
08.40416694,AA,AP,510816.3438,-1902059.3750,2.55503309,0.4410,0.00267400
08.40416694,AA,SP,-1031022016.0000,4650409472.0000,0.25956345,-2.2243,0.00422343
08.40694427,AA,AP,510316.8125,-1902240.5000,2.55113818,0.5053,0.00282742
08.40694427,AP,SP,-1028388800.0000,4652673024.0000,0.30869358,-5.9213,0.03797203
08.40972233,AA,SP,-1024734336.0000,4651130880.0000,0.26976964,-2.1457,0.00434510
08.41249967,AA,AP,509316.9062,-1902601.7500,2.54414466,-0.0093,0.00273381
08.41249967,AA,SP,-1021589632.0000,4651490304.0000,0.30223275,0.8914,0.00500936
08.41249967,AP,SP,-1022098880.0000,4653392896.0000,0.31071975,-4.7720,0.03573999
08.41527772,AA,AP,508816.5312,-1902782.3750,2.54088695,0.8143,0.00268970
08.41527772,AA,SP,-1018444288.0000,4651848192.0000,0.29599052,0.9997,0.00490304
08.41527772,AP,SP,-1018953152.0000,4653750784.0000,0.30074016,-12.4790,0.03595056
08.41805577,AA,AP,508325.9375,-1902958.6250,2.53767110,-0.3342,0.00277685
08.41805577,AA,SP,-1015298560.0000,4652205056.0000,0.27179341,-0.1600,0.00451061
08.42083311,AA,SP,-1012152256.0000,4652560384.0000,0.27672978,-0.7138,0.00469628
08.42361116,AA,SP,-1009005248.0000,4652915200.0000,0.28891053,-2.0438,0.00470837
08.42638922,AA,SP,-1005857920.0000,4653268480.0000,0.28179684,1.8710,0.00470120
08.42916656,AA,SP,-1002709952.0000,4653620736.0000,0.28954906,-1.1748,0.00470195
08.43194461,AA,SP,-999561472.0000,4653971968.0000,0.28357774,-0.7368,0.00469853
08.43472195,AA,SP,-996412480.0000,4654322176.0000,0.28139747,-1.2459,0.00470951
08.44027805,AA,SP,-990112896.0000,4655019008.0000,0.27367630,-0.4383,0.00535302
08.44305539,AA,SP,-986962176.0000,4655365632.0000,0.27484502,0.0205,0.00516031
08.44583344,AA,SP,-983811072.0000,4655711744.0000,0.27103892,-0.5400,0.00470904
08.44861078,AA,SP,-980659392.0000,4656055808.0000,0.27995431,0.1832,0.00484099
08.45138884,AA,SP,-977507200.0000,4656399360.0000,0.27217658,0.3965,0.00471194
08.45416689,AA,SP,-974354432.0000,4656741888.0000,0.27453109,-0.2911,0.00470603
08.45694423,AA,SP,-971201216.0000,4657082880.0000,0.26306707,1.1318,0.00470900
08.45972228,AA,SP,-968047424.0000,4657422848.0000,0.27437315,0.0848,0.00469794
08.46250033,AA,SP,-964893184.0000,4657761792.0000,0.25798027,-3.2731,0.00489556
08.46527767,AA,SP,-961738432.0000,4658099200.0000,0.26116943,-1.6453,0.00496434
08.46805573,AA,SP,-958583104.0000,4658436608.0000,0.25583127,-0.0829,0.00471758
08.47083306,AA,SP,-955427264.0000,4658771968.0000,0.26366532,-0.2557,0.00471323
08.47361112,AA,SP,-952270976.0000,4659106816.0000,0.26576967,0.6576,0.00470242
08.47638917,AA,SP,-949114048.0000,4659440128.0000,0.25972823,-0.3971,0.00472082
08.47916651,AA,SP,-945956736.0000,4659772416.0000,0.25243966,1.5410,0.00480238
08.48749995,AA,SP,-936481664.0000,4660762624.0000,0.25583688,0.4040,0.00473297
08.49027801,AA,SP,-933322368.0000,4661090304.0000,0.26259425,-0.9066,0.00472265
08.49305534,AA,SP,-930162496.0000,4661416960.0000,0.24350820,-0.3572,0.00473894
08.49583340,AA,SP,-927002176.0000,4661742592.0000,0.24914203,-0.7793,0.00475133
08.49861145,AA,SP,-923841408.0000,4662066688.0000,0.24763635,2.1729,0.00474093
08.50138879,AA,SP,-920679936.0000,4662390272.0000,0.25666152,-0.1247,0.00474295
08.50416684,AA,SP,-917518208.0000,4662712320.0000,0.24164665,-0.5863,0.00473504
08.50694418,AA,SP,-914355776.0000,4663033344.0000,0.24043034,0.4953,0.00473056
08.50972223,AA,SP,-911192960.0000,4663353344.0000,0.24988725,0.0214,0.00473213
08.51250029,AA,SP,-908029632.0000,4663672320.0000,0.23648812,-1.0692,0.00473240
08.51527762,AA,SP,-904865856.0000,4663990272.0000,0.23884537,2.3698,0.00473054
08.51805568,AA,SP,-901701568.0000,4664306688.0000,0.24402039,0.1963,0.00473445
08.52083302,AA,SP,-898536896.0000,4664622080.0000,0.24174528,-0.3450,0.00473747
08.52361107,AA,SP,-895371648.0000,4664936448.0000,0.23526135,0.5368,0.00473765
08.52638912,AA,SP,-892205888.0000,4665249792.0000,0.24036299,0.2595,0.00472552
08.52916646,AA,SP,-889039680.0000,4665561600.0000,0.24160299,-0.5943,0.00473067
08.53194451,AA,SP,-885873088.0000,4665872896.0000,0.23908274,-0.8236,0.00473188
08.58472252,AP,SP,-825905664.0000,4673499648.0000,0.23533557,22.6842,0.03850075
08.58749986,AA,AP,477271.1875,-1913615.7500,2.52495678,-0.0909,0.00266351
08.58749986,AA,SP,-822442624.0000,4671857664.0000,0.24511280,1.1662,0.00446738
08.58749986,AP,SP,-822919872.0000,4673771008.0000,0.25491023,-10.0554,0.03978313
08.59027791,AA,AP,476754.1562,-1913784.8750,2.52569367,0.0256,0.00266973
08.59027791,AA,SP,-819266368.0000,4672144896.0000,0.24512598,-0.1468,0.00441832
08.59027791,AP,SP,-819743104.0000,4674058752.0000,0.24728671,1.2508,0.04031812
08.59305525,AA,AP,476236.8750,-1913953.7500,2.52718873,1.2469,0.00265779
08.59305525,AA,SP,-816089664.0000,4672431104.0000,0.26290166,1.5182,0.00443196
08.59305525,AP,SP,-816565888.0000,4674344960.0000,0.27187713,6.4870,0.04001306
08.59583330,AA,SP,-812912576.0000,4672716288.0000,0.23391427,0.5130,0.00410826
