#SRC:SGRA,DATE(MJD):57849,FREQ:229.0707GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
08.47361112,AA,SP,-952575040.0000,4719234048.0000,0.24319742,-0.7294,0.00490241
08.47361112,AP,SP,-953080256.0000,4721165312.0000,0.25526293,11.9627,0.05095489
08.47638917,AA,AP,504652.2188,-1931467.0000,2.60600273,-0.3826,0.00296559
08.47638917,AA,SP,-949375104.0000,4719570432.0000,0.24364852,1.5665,0.00472092
08.47638917,AP,SP,-949879744.0000,4721501696.0000,0.24139019,30.9264,0.05234601
08.47916651,AA,SP,-946174592.0000,4719905792.0000,0.25491348,-0.9764,0.00509840
08.47916651,AP,SP,-947511040.0000,4721750016.0000,0.26788115,-11.5560,0.05916806
08.48194456,AA,SP,-942973568.0000,4720239616.0000,0.25097109,0.6675,0.00512223
08.48472190,AA,SP,-939771968.0000,4720572416.0000,0.25444967,0.7927,0.00511580
08.48749995,AA,SP,-936569984.0000,4720904192.0000,0.24810240,1.1719,0.00511637
08.49027801,AA,SP,-933367424.0000,4721234944.0000,0.24064777,0.0392,0.00509874
08.49305534,AA,SP,-930164480.0000,4721564160.0000,0.24827313,0.5429,0.00510811
08.49583340,AA,SP,-926960960.0000,4721892864.0000,0.24207407,1.0934,0.00511981
08.49861145,AA,SP,-923756928.0000,4722220032.0000,0.24250705,2.6789,0.00511149
08.50138879,AA,SP,-920552384.0000,4722546176.0000,0.25467863,0.9379,0.00510082
08.50416684,AA,SP,-917347392.0000,4722870784.0000,0.24845909,1.3474,0.00509366
08.50694418,AA,SP,-914142016.0000,4723194880.0000,0.24558268,1.9634,0.00508247
08.50972223,AA,SP,-910935936.0000,4723517440.0000,0.24315004,0.7880,0.00507827
08.51250029,AA,SP,-907729536.0000,4723838976.0000,0.25135638,2.6704,0.00506435
08.51527762,AA,SP,-904522624.0000,4724159488.0000,0.23921479,1.5015,0.00507050
08.51805568,AA,SP,-901315200.0000,4724478464.0000,0.23047451,0.8044,0.00507091
08.52083302,AA,SP,-898107328.0000,4724796928.0000,0.23906614,1.5849,0.00506222
08.52361107,AA,SP,-894898944.0000,4725113856.0000,0.23568147,1.3026,0.00505613
08.52638912,AA,SP,-891690112.0000,4725429760.0000,0.24304788,2.1775,0.00504209
08.52916646,AA,SP,-888480832.0000,4725744128.0000,0.23947199,2.2225,0.00503610
08.53194451,AA,SP,-885271040.0000,4726057984.0000,0.23628689,2.2745,0.00504469
08.58472252,AA,SP,-824197504.0000,4731801088.0000,0.25247091,-0.4419,0.00501215
08.58749986,AA,SP,-820978688.0000,4732091904.0000,0.28430704,-0.2877,0.00571504
08.58749986,AP,SP,-821462528.0000,4734030336.0000,0.29056657,7.9161,0.04061906
08.59027791,AA,AP,483312.0312,-1938629.3750,2.63283090,-0.9516,0.00296123
08.59027791,AA,SP,-817759360.0000,4732381696.0000,0.28136443,-0.5395,0.00534851
08.59027791,AP,SP,-818242624.0000,4734320128.0000,0.28451429,-8.3081,0.04320206
08.59305525,AA,AP,482786.1250,-1938800.1250,2.63418758,-0.9345,0.00296413
08.59305525,AA,SP,-814539584.0000,4732669952.0000,0.28712483,-0.3698,0.00535463
08.59305525,AP,SP,-815022400.0000,4734608896.0000,0.29255932,-2.4040,0.04314122
08.59583330,AA,AP,482259.8750,-1938970.7500,2.63540802,-0.9729,0.00296170
08.59583330,AA,SP,-811319424.0000,4732957696.0000,0.28290837,-0.7035,0.00540822
08.59583330,AP,SP,-811801664.0000,4734896640.0000,0.27905794,9.9143,0.04268435
08.59861135,AA,SP,-808098752.0000,4733243904.0000,0.25831275,-0.7459,0.00495694
08.60138869,AA,SP,-804877760.0000,4733529088.0000,0.26994273,-0.8014,0.00495344
08.60416675,AA,SP,-801656192.0000,4733813248.0000,0.27186079,-1.3985,0.00495091
08.60694480,AA,SP,-798434368.0000,4734096384.0000,0.26699773,-0.6806,0.00495010
08.60972214,AA,SP,-795212032.0000,4734377984.0000,0.27075846,-0.0986,0.00496041
