#SRC:SGRA,DATE(MJD):57850,FREQ:229.0707GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
04.04861104,AA,AP,851683.4375,-1507486.3750,2.46032186,0.1231,0.00460662
04.04861104,AA,PV,-3483598592.0000,-5591853568.0000,0.03644541,10.2528,0.00468512
04.04861104,AA,SP,-4389093888.0000,3050803968.0000,0.20859790,2.3336,0.00949634
04.04861104,AP,SP,-4389945856.0000,3052311296.0000,0.21814746,11.6977,0.05280789
04.04861104,AP,PV,-3484450304.0000,-5590346240.0000,0.01808276,-14.0355,0.02613232
04.04861104,PV,SP,-905495296.0000,8642657280.0000,0.12013519,43.4181,0.05385065
04.05138874,AA,AP,851805.6250,-1507787.5000,2.46038905,0.2105,0.00460343
04.05138874,AA,PV,-3485669120.0000,-5590621184.0000,0.04017135,-0.2899,0.00476797
04.05138874,AA,SP,-4388402176.0000,3052355840.0000,0.21692042,-1.1220,0.00965053
04.05138874,AP,SP,-4389253632.0000,3053863680.0000,0.24457547,-11.9482,0.05188118
04.05138874,AP,PV,-3486520832.0000,-5589113344.0000,0.04817329,-30.7070,0.02571485
04.05138874,PV,SP,-902732864.0000,8642976768.0000,0.09768027,114.4009,0.05389057
04.05416679,AA,AP,851927.5000,-1508088.7500,2.45996396,0.2090,0.00463009
04.05416679,AA,PV,-3487737344.0000,-5589388288.0000,0.03390493,1.3284,0.00387794
04.05416679,AA,SP,-4387707392.0000,3053907456.0000,0.17060838,0.7369,0.00783891
04.05416679,AP,SP,-4388559360.0000,3055415552.0000,0.20593735,9.1350,0.06421639
04.05416679,AP,PV,-3488589568.0000,-5587880448.0000,0.00803448,-12.4699,0.03185923
04.05416679,PV,SP,-899969984.0000,8643296256.0000,0.06421605,28.8553,0.05392463
04.05694449,AA,AP,852048.8750,-1508390.0000,2.45996939,0.2305,0.00462109
04.05694449,AA,PV,-3489804288.0000,-5588154368.0000,0.03637260,0.4507,0.00460671
04.05694449,AA,SP,-4387011072.0000,3055459072.0000,0.19895731,1.9997,0.00929947
04.05694449,AP,SP,-4387863040.0000,3056967424.0000,0.19922101,8.3654,0.05396437
04.05694449,AP,PV,-3490656256.0000,-5586646528.0000,0.04058796,-4.4362,0.02682173
04.05694449,PV,SP,-897206656.0000,8643613696.0000,0.08925622,-30.7713,0.05396165
04.05972219,AA,AP,852169.7500,-1508691.3750,2.46016842,0.2538,0.00457090
04.05972219,AA,PV,-3491869184.0000,-5586920448.0000,0.03070356,6.8311,0.00346331
04.05972219,AA,SP,-4386311680.0000,3057010176.0000,0.15918167,0.7963,0.00698184
04.05972219,AP,SP,-4387164160.0000,3058518784.0000,0.18523536,-7.5469,0.07107213
04.05972219,AP,PV,-3492721152.0000,-5585411584.0000,0.01205500,139.7385,0.03536268
04.05972219,PV,SP,-894442688.0000,8643930112.0000,0.10593586,101.5418,0.05399862
04.06249988,AA,AP,852290.2500,-1508992.7500,2.46016946,0.2453,0.00469421
04.06249988,AA,PV,-3493932032.0000,-5585684992.0000,0.03346187,6.9863,0.00450002
04.06249988,AA,SP,-4385610240.0000,3058561024.0000,0.20418570,0.5759,0.00905953
04.06249988,AP,SP,-4386462720.0000,3060070144.0000,0.21143583,7.6613,0.05622085
04.06249988,AP,PV,-3494784512.0000,-5584176128.0000,0.04074381,-5.6570,0.02800588
04.06249988,PV,SP,-891678336.0000,8644246528.0000,0.06633019,-17.2450,0.05403555
04.06527793,AA,PV,-3495993344.0000,-5584449024.0000,0.04020250,0.8942,0.00465084
04.06527793,AA,SP,-4384906752.0000,3060111872.0000,0.19351497,2.0184,0.00935052
04.06527793,AP,SP,-4385759232.0000,3061620992.0000,0.21287970,-17.1193,0.05067986
04.06527793,AP,PV,-3496845824.0000,-5582940160.0000,0.03133660,81.5639,0.02530047
04.06527793,PV,SP,-888913536.0000,8644560896.0000,0.13937256,8.5362,0.05407243
04.06805563,AA,AP,852529.7500,-1509595.5000,2.46009745,0.2555,0.00455545
04.06805563,AA,PV,-3498052608.0000,-5583212544.0000,0.03528860,-9.8346,0.00372441
04.06805563,AA,SP,-4384200704.0000,3061662208.0000,0.15841092,-0.5996,0.00747782
04.06805563,AP,SP,-4385053184.0000,3063171840.0000,0.15393690,33.8168,0.06601260
04.06805563,AP,PV,-3498905088.0000,-5581703168.0000,0.03870293,32.5046,0.03297205
04.06805563,PV,SP,-886148224.0000,8644875264.0000,0.06713825,71.0224,0.05410926
04.07083333,AA,AP,852648.8750,-1509897.0000,2.45983218,0.2597,0.00464508
04.07083333,AA,PV,-3500109824.0000,-5581975040.0000,0.03636019,-14.7042,0.00468877
04.07083333,AA,SP,-4383492608.0000,3063212288.0000,0.20225298,2.6897,0.00940137
04.07083333,AP,SP,-4384344576.0000,3064722432.0000,0.20385065,-3.1288,0.05349389
04.07083333,AP,PV,-3500962560.0000,-5580465152.0000,0.06699752,-62.6752,0.02676041
04.07083333,PV,SP,-883382464.0000,8645187584.0000,0.06796522,67.9176,0.05414604
04.07361102,AA,AP,852767.5000,-1510198.6250,2.46016289,0.2866,0.00454921
04.07361102,AA,SP,-4382781952.0000,3064762368.0000,0.20712748,1.7442,0.00887712
04.07361102,AP,SP,-4383634432.0000,3066272512.0000,0.25537900,-17.3572,0.05545388
04.07361102,AP,PV,-3503018240.0000,-5579227136.0000,0.02111535,51.4033,0.02777416
04.07361102,PV,SP,-880616256.0000,8645499904.0000,0.02414207,46.9092,0.05418276
04.07638872,AA,AP,852885.6875,-1510500.1250,2.45999016,0.2793,0.00456523
04.07638872,AA,PV,-3504219136.0000,-5579498496.0000,0.03695075,-5.7818,0.00348155
04.07638872,AA,SP,-4382068736.0000,3066312192.0000,0.16426680,1.2314,0.00696199
04.07638872,AP,SP,-4382921728.0000,3067822592.0000,0.13505600,-18.3711,0.07089293
04.07638872,AP,PV,-3505072128.0000,-5577988096.0000,0.04943938,0.0732,0.03556427
04.07638872,PV,SP,-877849472.0000,8645810176.0000,0.02627365,-132.7693,0.05421944
04.07916677,AA,AP,853003.4375,-1510801.7500,2.46008130,0.2972,0.00462639
