# SRC:SGRA DATE(MJD):57850 FREQ:229.0707GHz
# time(UTC)      T1     T2   U(lambda)        V(lambda)         Iamp(Jy)    Iphase(d)   Isigma(Jy)
04.07916677      AP     SP  -4382206464.0000   3069372416.0000  0.07981420     13.7590  0.02690155
04.07916677      AP     PV  -3507123968.0000  -5576748032.0000  0.03056327    -15.8170  0.01351691
04.07916677      PV     SP   -875082368.0000   8646120448.0000  0.03673057     -9.2594  0.02203659
04.08194447      AA     SP  -4380635648.0000   3069410816.0000  0.07803092      0.9223  0.00344494
04.08194447      AA     AP       853120.6875     -1511103.3750  0.99917423      0.3084  0.00185213
04.08194447      AA     PV  -3508321024.0000  -5577018880.0000  0.01671940      2.1808  0.00172199
04.08194447      AP     SP  -4381488640.0000   3070921728.0000  0.08154471     17.1218  0.02373009
04.08194447      AP     PV  -3509174016.0000  -5575507456.0000  0.01655397     22.2768  0.01189579
04.08194447      PV     SP   -872314752.0000   8646429696.0000  0.01045500    -53.3339  0.02211973
04.08472216      AA     AP       853237.5000     -1511405.1250  0.99915409      0.3478  0.00187036
04.08472216      AA     SP  -4379915776.0000   3070959616.0000  0.05874816      0.0318  0.00266484
04.08472216      AA     PV  -3510369024.0000  -5575777792.0000  0.01333856     -1.0763  0.00133800
04.08472216      AP     PV  -3511222272.0000  -5574266368.0000  0.02094761     53.6190  0.01549182
04.08472216      PV     SP   -869546624.0000   8646737920.0000  0.05462324     65.9271  0.02206628
04.08749986      AA     AP       853353.8750     -1511706.8750  0.99919547      0.3677  0.00184801
04.08749986      AA     PV  -3512415232.0000  -5574535680.0000  0.01639805      8.3019  0.00149121
04.08749986      AA     SP  -4379193344.0000   3072508416.0000  0.07369152     -0.8850  0.00296596
04.08749986      AP     SP  -4380046848.0000   3074020096.0000  0.09039243     24.5769  0.02729335
04.08749986      AP     PV  -3513268736.0000  -5573024256.0000  0.00548988     42.9987  0.01376145
04.08749986      PV     SP   -866778048.0000   8647044096.0000  0.02670420     31.0715  0.02208110
04.09027791      AA     AP       853469.8125     -1512008.6250  0.99919388      0.3425  0.00183177
04.09027791      AA     SP  -4378468864.0000   3074056704.0000  0.08773241     -1.5935  0.00383755
04.09027791      AA     PV  -3514459648.0000  -5573293568.0000  0.01449565     -3.7546  0.00193032
04.09027791      AP     SP  -4379322368.0000   3075568896.0000  0.10544429      7.1749  0.02093181
04.09027791      AP     PV  -3515313152.0000  -5571781632.0000  0.01142621     29.7057  0.01055896
04.09027791      PV     SP   -864009088.0000   8647350272.0000  0.03851940     80.1988  0.02211537
04.09305561      AA     AP       853585.2500     -1512310.5000  0.99922993      0.3730  0.00183118
04.09305561      AA     SP  -4377741824.0000   3075604992.0000  0.09242421     -1.2914  0.00438883
04.09305561      AP     SP  -4378595328.0000   3077117184.0000  0.09337125      1.1705  0.01824795
04.09305561      AP     PV  -3517355776.0000  -5570537984.0000  0.01976069    -30.8590  0.00922815
04.09305561      PV     SP   -861239616.0000   8647655424.0000  0.00944602      4.7327  0.02211067
04.09583330      AA     AP       853700.3125     -1512612.3750  0.99912723      0.3890  0.00186019
