# SRC:SGRA DATE(MJD):57849 FREQ:228.1918GHz
# time(UTC)      T1     T2   U(lambda)        V(lambda)         Iamp(Jy)    Iphase(d)   Isigma(Jy)
08.40138888      AA     AP       515826.7188     -1918698.7500  0.99892398      1.0530  0.00109637
08.40138888      AA     SP  -1043246016.0000   4691171328.0000  0.12334500     -1.4251  0.00211591
08.40138888      AP     SP  -1043761792.0000   4693089280.0000  0.12556337      9.6616  0.01724694
08.40416694      AA     AP       515333.0938     -1918877.8750  0.99877699      0.3726  0.00107411
08.40416694      AA     SP  -1040138560.0000   4691529216.0000  0.12673256     -1.0813  0.00215611
08.40416694      AP     SP  -1040653888.0000   4693447680.0000  0.13179154      5.2432  0.01622831
08.40694427      AA     AP       514829.1250     -1919060.2500  0.99876845      0.6565  0.00113530
08.40694427      AA     SP  -1036967104.0000   4691894272.0000  0.12964457      0.3363  0.00221159
08.40694427      AP     SP  -1037481920.0000   4693812736.0000  0.13285028      4.6422  0.01675895
08.40972233      AA     AP       514324.8750     -1919242.7500  0.99874691     -0.1490  0.00107715
08.40972233      AA     SP  -1033795136.0000   4692257280.0000  0.11290951     -0.4609  0.00192260
08.40972233      AP     SP  -1034309440.0000   4694176768.0000  0.11480635     10.1997  0.01824324
08.41249967      AA     AP       513820.3750     -1919424.8750  0.99884133      0.0177  0.00111762
08.41249967      AA     SP  -1030622656.0000   4692619264.0000  0.11055376      0.9978  0.00189369
08.41249967      AP     SP  -1031136512.0000   4694538240.0000  0.11071738     -5.0703  0.01925131
08.41527772      AA     SP  -1027449600.0000   4692980736.0000  0.09434823     -0.7960  0.00168957
08.41527772      AP     SP  -1027962944.0000   4694900224.0000  0.09817278     -6.9312  0.02020852
08.41805577      AA     AP       512810.5000     -1919788.5000  0.99880896      0.1640  0.00110485
08.41805577      AA     SP  -1024276032.0000   4693340672.0000  0.12521176     -1.0953  0.00218971
08.41805577      AP     SP  -1024788736.0000   4695260160.0000  0.12689995      6.5210  0.01642724
08.42083311      AA     AP       512305.1562     -1919970.1250  0.99885114      1.2375  0.00112534
08.42083311      AA     SP  -1021101824.0000   4693699072.0000  0.13365625      0.6270  0.00231667
08.42083311      AP     SP  -1021614144.0000   4695619072.0000  0.13556728     -1.8406  0.01581912
08.42361116      AA     AP       511799.5312     -1920151.7500  0.99886696      0.1735  0.00107197
08.42361116      AA     SP  -1017927104.0000   4694056960.0000  0.10360521      0.0024  0.00184075
08.42361116      AP     SP  -1018438848.0000   4695976960.0000  0.10452486      2.7699  0.01892452
08.42638922      AA     AP       511293.5938     -1920333.1250  0.99882523      1.4785  0.00110182
08.42638922      AA     SP  -1014751808.0000   4694413312.0000  0.11151569      0.8990  0.00198976
08.42638922      AP     SP  -1015263168.0000   4696333824.0000  0.11058885     15.4922  0.01800212
08.42916656      AA     AP       510787.4062     -1920514.1250  0.99881059     -0.8806  0.00112773
08.42916656      AA     SP  -1011576128.0000   4694768640.0000  0.10476348     -0.6487  0.00182286
08.42916656      AP     SP  -1012086848.0000   4696689664.0000  0.10631746      7.2659  0.02011225
08.43194461      AA     AP       510280.9688     -1920694.8750  0.99884456      1.3277  0.00112120
08.43194461      AA     SP  -1008399744.0000   4695122944.0000  0.10660760     -1.6605  0.00191876
08.43194461      AP     SP  -1008909952.0000   4697043456.0000  0.10367049      3.1356  0.01899572
08.43472195      AA     AP       509774.2500     -1920875.6250  0.99880156      0.3610  0.00111261
08.43472195      AA     SP  -1005222848.0000   4695476224.0000  0.11483871      0.0777  0.00206588
08.43472195      AP     SP  -1005732672.0000   4697397760.0000  0.11642186      8.8121  0.01746687
08.43750000      AA     AP       509267.2500     -1921056.3750  0.99879418      0.6186  0.00114133
08.43750000      AA     SP  -1002045440.0000   4695828480.0000  0.10339024      1.5489  0.00187097
08.43750000      AP     SP  -1002554752.0000   4697749504.0000  0.10373994     -2.8090  0.01979557
08.44027805      AA     AP       508760.0000     -1921236.5000  0.99892007      1.8637  0.00113114
08.44027805      AA     SP   -998867456.0000   4696179200.0000  0.11721097     -0.3054  0.00209557
08.44027805      AP     SP   -999376320.0000   4698100736.0000  0.11883647      0.0511  0.01745536
08.44305539      AA     AP       508252.4062     -1921416.8750  0.99891394     -0.6896  0.00116675
08.44305539      AA     SP   -995689088.0000   4696529408.0000  0.11253403      0.9711  0.00202962
08.44305539      AP     SP   -996197248.0000   4698450944.0000  0.10676287      9.0707  0.01862039
08.44583344      AA     AP       507744.6250     -1921596.7500  0.99895136      0.1323  0.00115942
08.44583344      AA     SP   -992510016.0000   4696877568.0000  0.11010952     -2.2416  0.00208831
08.44583344      AP     SP   -993017728.0000   4698799616.0000  0.11100671     -3.8583  0.01801497
08.44861078      AA     AP       507236.5625     -1921776.7500  0.99898828      0.2862  0.00108993
08.44861078      AA     SP   -989330496.0000   4697225216.0000  0.11384887      0.5836  0.00208742
08.44861078      AP     SP   -989837760.0000   4699147264.0000  0.11280742      0.3295  0.01684644
08.45138884      AA     AP       506728.1562     -1921956.2500  0.99903906      0.8878  0.00114713
08.45138884      AA     SP   -986150464.0000   4697571840.0000  0.10949693     -0.5943  0.00211422
08.45416689      AA     AP       506219.5625     -1922135.7500  0.99888008      0.8911  0.00109878
08.45416689      AA     SP   -982969856.0000   4697916928.0000  0.10717420      0.4863  0.00199915
08.45416689      AP     SP   -983476096.0000   4699840000.0000  0.10892215     -5.4072  0.01771720
08.45694423      AA     AP       505710.6875     -1922315.1250  0.99878663      0.4553  0.00111140
08.45694423      AA     SP   -979788672.0000   4698261504.0000  0.09986727      0.9513  0.00187354
08.45694423      AP     SP   -980294464.0000   4700183552.0000  0.10039787      2.8439  0.01907729
08.45972228      AA     AP       505201.5000     -1922494.0000  0.99903947     -0.9858  0.00111786
08.45972228      AA     SP   -976607104.0000   4698604544.0000  0.11340736     -0.1644  0.00208315
08.45972228      AP     SP   -977112256.0000   4700527104.0000  0.11609779      9.7820  0.01724363
08.46250033      AA     AP       504692.0312     -1922673.1250  0.99888013      0.5423  0.00109440
08.46250033      AA     SP   -973424960.0000   4698947072.0000  0.09901927     -0.1260  0.00193045
08.46250033      AP     SP   -973929664.0000   4700869120.0000  0.09907665     11.2968  0.01820078
08.46527767      AA     AP       504182.3125     -1922851.7500  0.99889232      1.0641  0.00113258
08.46527767      AA     SP   -970242240.0000   4699287040.0000  0.09778469     -1.8932  0.00182490
08.46527767      AP     SP   -970746432.0000   4701210112.0000  0.10116339      1.5904  0.01991222
08.46805573      AA     AP       503672.3438     -1923030.5000  0.99890338      0.4573  0.00115633
08.46805573      AA     SP   -967059008.0000   4699627520.0000  0.09972206      1.4716  0.00193641
08.46805573      AP     SP   -967562688.0000   4701550080.0000  0.10392895    -33.9751  0.01913428
08.47083306      AA     AP       503162.0938     -1923208.7500  0.99887165     -0.1145  0.00109614
08.47083306      AA     SP   -963875264.0000   4699965440.0000  0.08754975     -0.3268  0.00167258
08.47361112      AA     AP       502651.5625     -1923387.0000  0.99886178      0.2734  0.00111661
08.47361112      AA     SP   -960691072.0000   4700303360.0000  0.09501138     -0.6895  0.00187089
08.47361112      AP     SP   -961193792.0000   4702226432.0000  0.09793808      9.8723  0.01908284
08.47638917      AA     AP       502140.8125     -1923564.8750  0.99875577      0.8462  0.00110648
08.47916651      AA     SP   -954321088.0000   4700974592.0000  0.10489203      0.6962  0.00204778
08.47916651      AP     SP   -955587392.0000   4702818304.0000  0.11017445     -0.8610  0.02088873
08.48194456      AA     SP   -951135296.0000   4701308928.0000  0.09841894     -0.3671  0.00196028
08.48472190      AA     SP   -947948992.0000   4701642240.0000  0.09862093      0.3195  0.00195802
08.48749995      AA     SP   -944762240.0000   4701973504.0000  0.09609725      1.2356  0.00195883
08.49027801      AA     SP   -941574976.0000   4702304768.0000  0.09480791     -0.7958  0.00195205
08.49305534      AA     SP   -938387200.0000   4702633472.0000  0.09708001     -0.2150  0.00195571
08.49583340      AA     SP   -935198848.0000   4702962176.0000  0.09446577     -0.5630  0.00196030
08.49861145      AA     SP   -932010112.0000   4703289344.0000  0.09547702      0.0619  0.00195740
08.50138879      AA     SP   -928820800.0000   4703615488.0000  0.09775663     -0.7643  0.00195309
08.50416684      AA     SP   -925630976.0000   4703940608.0000  0.09722089      1.8113  0.00195024
08.50694418      AA     SP   -922440704.0000   4704264704.0000  0.09418127     -0.8273  0.00194587
08.50972223      AA     SP   -919249856.0000   4704587776.0000  0.09525765     -0.6246  0.00194401
08.51250029      AA     SP   -916058624.0000   4704908800.0000  0.09800180      1.7101  0.00193853
08.51527762      AA     SP   -912866816.0000   4705229312.0000  0.09257769      0.0562  0.00194046
08.51805568      AA     SP   -909674624.0000   4705548800.0000  0.09042934     -0.6243  0.00194020
08.52083302      AA     SP   -906481856.0000   4705867264.0000  0.09222729      0.3150  0.00193659
08.52361107      AA     SP   -903288640.0000   4706184192.0000  0.09188783     -1.1076  0.00193391
08.52638912      AA     SP   -900094976.0000   4706500608.0000  0.09368421     -0.8420  0.00192804
08.52916646      AA     SP   -896900800.0000   4706814976.0000  0.09346309     -1.0272  0.00192506
08.53194451      AA     SP   -893706176.0000   4707128832.0000  0.09159108     -0.4208  0.00192793
08.58472252      AA     SP   -832854592.0000   4712881152.0000  0.10228595     -1.9647  0.00204712
08.58472252      AP     SP   -833144384.0000   4714829312.0000  0.10345825      6.6379  0.01582509
08.58749986      AA     AP       481491.2812     -1930536.3750  0.99913632     -0.5114  0.00110063
08.58749986      AA     SP   -829714752.0000   4713166336.0000  0.10645238     -1.6516  0.00214866
08.58749986      AP     SP   -830196224.0000   4715097088.0000  0.10818325      5.7943  0.01517255
08.59027791      AA     AP       480969.7188     -1930706.7500  0.99894564     -0.0475  0.00109443
08.59027791      AA     SP   -826510464.0000   4713456640.0000  0.10926720      0.4302  0.00202556
08.59027791      AP     SP   -826991360.0000   4715387392.0000  0.11019883     -8.3041  0.01597770
08.59305525      AA     AP       480447.8125     -1930877.1250  0.99893000      0.0118  0.00109104
08.59305525      AA     SP   -823305728.0000   4713745408.0000  0.10658544     -0.2718  0.00194724
08.59305525      AP     SP   -823786112.0000   4715676160.0000  0.10802855     -5.1900  0.01654092
08.59583330      AA     AP       479925.6875     -1931047.3750  0.99883720     -0.5979  0.00109670
08.59583330      AA     SP   -820100480.0000   4714033152.0000  0.11181469     -1.8081  0.00211818
08.59583330      AP     SP   -820580416.0000   4715963904.0000  0.11323041     11.4118  0.01527622
08.59861135      AA     SP   -816894784.0000   4714319872.0000  0.09834069      0.0406  0.00187399
08.60138869      AA     SP   -813688704.0000   4714605056.0000  0.10339488      0.7438  0.00187163
08.60416675      AA     SP   -810482112.0000   4714889216.0000  0.10604075      0.0571  0.00186966
08.60694480      AA     SP   -807275136.0000   4715172864.0000  0.10086631      0.6998  0.00186829
08.60972214      AA     SP   -804067776.0000   4715454464.0000  0.10338297     -0.3012  0.00187135
08.61250019      AA     SP   -800859968.0000   4715736064.0000  0.10943633      2.1206  0.00186828
08.61527753      AA     SP   -797651712.0000   4716015104.0000  0.10597528      0.7888  0.00187048
08.61805558      AA     SP   -794442944.0000   4716294656.0000  0.10839828      0.0023  0.00186075
08.62083364      AA     SP   -791233920.0000   4716572160.0000  0.10624049      1.2982  0.00186486
08.62361097      AA     SP   -788024384.0000   4716847616.0000  0.11048609     -1.2994  0.00186013
08.62638903      AA     SP   -784814336.0000   4717123072.0000  0.11184437      0.3311  0.00186092
08.62916636      AA     SP   -781603968.0000   4717396992.0000  0.11174241     -0.0522  0.00186262
08.63194442      AA     SP   -778393216.0000   4717670400.0000  0.11228785      0.7384  0.00185867
08.63472247      AA     SP   -775182016.0000   4717941760.0000  0.11581945      0.3862  0.00185411
08.63749981      AA     SP   -771970368.0000   4718212608.0000  0.11513340      0.2607  0.00185383
08.64027786      AA     SP   -768758336.0000   4718481920.0000  0.11504897      0.3873  0.00185127
08.64305520      AA     SP   -765545920.0000   4718750720.0000  0.11702383      0.1830  0.00185352
08.64583325      AA     SP   -762332992.0000   4719017984.0000  0.11606907      0.1153  0.00185011
08.64861131      AA     SP   -759119744.0000   4719284736.0000  0.12081596     -0.4492  0.00185464
08.65138865      AA     SP   -755906112.0000   4719548928.0000  0.11510633      0.6061  0.00184918
